Description :  ; walk_time = 2.0 ; speed_up_time = 3.0 ; balancing_time = 0.0
RealTime,Time,CalculationTime,MeasuredVelocity,FilteredVelocity,BalancingGainsInner,BalancingGainsOuter,Roll,SteeringAngle,RollRate,ControlInput,BalancingSetpoint,gy,gz,ax,ay,az,imu_read_timing,SteerMotorCurrent
08:56:53.949334,0.70567,0.00651,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00263,0.00789,0.00000,0.00210,0.00065,-0.00275,-0.07302,0.98539,0.69654,0.15385
08:56:53.959499,0.71582,0.00646,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00065,0.00194,0.00000,0.00119,0.00004,-0.00311,-0.07649,0.98356,0.70669,0.15629
08:56:53.970401,0.72674,0.00702,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00110,0.00331,0.00000,-0.00233,-0.00317,-0.00287,-0.07430,0.98503,0.71778,0.16606
08:56:53.980168,0.73631,0.00643,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00080,0.00240,0.00000,-0.00233,-0.00134,-0.00415,-0.07357,0.98332,0.72734,0.18315
08:56:53.990791,0.74711,0.00657,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00012,-0.00035,0.00000,-0.00080,0.00065,-0.00415,-0.07527,0.98448,0.73781,0.16117
08:56:54.001290,0.75763,0.00686,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00462,0.01385,0.00000,-0.00110,-0.00027,-0.00244,-0.07436,0.98576,0.74894,0.16850
08:56:54.013017,0.76935,0.00828,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00095,0.00286,0.00000,-0.00019,0.00080,-0.00470,-0.07552,0.98491,0.76027,0.15385
08:56:54.021609,0.77795,0.00611,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00012,-0.00035,0.00000,0.00241,-0.00210,-0.00342,-0.07442,0.98387,0.76940,0.15629
08:56:54.032362,0.78868,0.00648,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00110,0.00331,0.00000,0.00317,0.00004,-0.00226,-0.07625,0.98497,0.77959,0.16117
08:56:54.043681,0.79925,0.00654,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00058,-0.00173,0.00000,0.00241,0.00050,-0.00372,-0.07521,0.98393,0.79081,0.16606
